Predicton Function,Train Accuracy,Test Accuracy,Simple MIA Attack Acc,Simple MIA Attack Adv,Simple MIA Attack Prec,Simple MIA Attack Recall,Simple MIA Attack F1,Loss attack Acc,Loss attack Adv,Loss attack Prec,Loss attack Recall,Loss attack F1,Loss attack2 Acc,Loss attack2 Adv,Loss attack2 Prec,Loss attack2 Recall,Loss attack2 F1,Adversarial examples attack0 Benign Acc,Adversarial examples attack0 Adver Acc,Adversarial examples attack1 Benign Acc,Adversarial examples attack1 Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part1_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part1_test_adv4_noise_attack_sigma_0.075.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv2_gradient_attack_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.002.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.005.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.01.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.025.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.05.npz Adver Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Benign Acc,Adversarial attack part2_test_adv3_fgsm_alpha_0.075.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.002.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.005.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.01.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.025.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.05.npz Adver Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Benign Acc,Adversarial attack part2_test_adv4_noise_attack_sigma_0.075.npz Adver Acc
Basic,100.0,75.18,74.225,0.48450000000000004,0.6924910607866508,0.8715,0.7717511622758468,73.775,0.47550000000000003,0.6567754698318496,0.996,0.791575601033181,76.0,0.52,0.6904761904761905,0.9425,0.7970401691331924,95.0,0.0,96.0,0.0,83.56,19.24,83.56,13.600000000000001,83.56,12.36,83.56,4.8,83.56,2.7199999999999998,83.56,2.32,83.56,68.08,83.56,55.400000000000006,83.56,34.52,83.56,14.32,83.56,11.0,83.56,11.0,83.56,83.6,83.56,83.36,83.56,83.6,83.56,83.32000000000001,83.56,83.08,83.56,82.56,78.08,73.08,78.08,68.2,78.08,68.04,78.08,67.60000000000001,78.08,69.08,78.08,68.84,78.08,76.75999999999999,78.08,76.32,78.08,73.76,78.08,69.76,78.08,67.92,78.08,60.8,78.08,77.88000000000001,78.08,77.72,78.08,77.48,78.08,77.12,78.08,76.08,78.08,75.88000000000001
Randomized Gaussian 0.05 sigma,99.32,72.44,67.825,0.35649999999999993,0.6748406081412457,0.688,0.6813567714780886,64.47500000000001,0.2895,0.5853227232537578,0.993,0.7365102911181161,67.77499999999999,0.3554999999999999,0.6109204368174727,0.979,0.7523535062439961,90.0,10.0,97.5,60.5,81.36,27.0,81.2,18.64,81.28,16.2,81.52000000000001,7.04,81.36,3.52,81.56,2.92,81.0,67.64,81.64,57.68,81.04,40.839999999999996,82.0,15.68,81.28,11.24,81.28,11.28,80.80000000000001,81.52000000000001,81.56,81.72,81.32000000000001,80.56,80.88,80.4,81.0,78.96,81.08,78.75999999999999,74.88,69.84,74.36,64.36,74.11999999999999,64.52,74.64,62.6,74.36,64.68,73.68,64.96,74.56,73.48,73.96000000000001,72.32,74.28,70.76,74.64,67.08,74.08,64.68,73.6,55.92,73.96000000000001,74.16,73.83999999999999,74.2,74.76,74.03999999999999,75.16000000000001,73.11999999999999,74.48,71.39999999999999,73.72,71.52
Randomized Laplace 0.05 sigma,95.92,67.88,62.7,0.254,0.6517323775388292,0.5455,0.5939031028851388,62.724999999999994,0.25449999999999995,0.5748749632244778,0.977,0.7238377477310614,65.7,0.31399999999999995,0.6002554278416348,0.94,0.7326578332034295,80.0,25.0,92.5,50.5,77.84,30.0,78.56,19.040000000000003,77.32,17.0,77.60000000000001,7.88,76.96,4.32,78.4,3.4799999999999995,77.84,65.48,76.2,56.599999999999994,77.48,42.92,77.88000000000001,17.64,76.96,11.64,77.96,12.2,76.84,76.48,78.12,77.32,77.96,76.75999999999999,77.60000000000001,76.12,77.60000000000001,74.11999999999999,76.88000000000001,74.8,70.12,66.24,69.96,60.919999999999995,70.0,58.8,70.12,59.12,70.08,59.199999999999996,70.0,59.8,70.0,68.72,69.8,68.24,70.32000000000001,65.36,69.96,63.32,69.92,60.56,70.0,52.76,70.8,69.52000000000001,70.16,70.36,70.36,69.44,70.28,68.47999999999999,69.88,67.67999999999999,70.24000000000001,66.52
Randomized Gaussian 0.1 sigma,81.56,58.120000000000005,55.925000000000004,0.11849999999999997,0.6020671834625323,0.3495,0.44226510597912055,60.35,0.20700000000000007,0.5643256681168427,0.908,0.6960521272518206,62.3,0.246,0.5845360824742268,0.8505,0.6928716904276986,70.0,25.0,75.5,41.5,66.67999999999999,33.040000000000006,66.03999999999999,19.919999999999998,65.64,17.28,65.60000000000001,9.959999999999999,66.47999999999999,6.800000000000001,66.4,5.2,66.24,56.08,66.08000000000001,49.8,65.24,39.2,65.60000000000001,21.240000000000002,65.52,12.76,65.68,12.64,64.56,65.60000000000001,66.2,65.24,65.96,66.28,65.60000000000001,64.2,66.52,62.6,66.16,63.519999999999996,59.96,55.879999999999995,60.88,52.080000000000005,61.08,49.8,60.160000000000004,50.28,60.040000000000006,52.28,61.040000000000006,52.2,60.760000000000005,58.32000000000001,60.760000000000005,60.24,60.199999999999996,56.120000000000005,61.199999999999996,54.24,60.4,51.0,60.480000000000004,45.68,60.0,60.6,59.96,59.760000000000005,59.88,60.56,60.0,59.160000000000004,59.96,57.720000000000006,59.760000000000005,57.879999999999995
Randomized Laplace 0.1 sigma,59.3,44.879999999999995,51.949999999999996,0.03899999999999998,0.5446224256292906,0.238,0.3312456506610995,57.975,0.15949999999999998,0.5544182872739679,0.8125,0.6590955181504766,58.4,0.16800000000000004,0.5638783269961977,0.7415,0.6406047516198704,50.0,15.0,50.5,34.5,51.12,34.28,51.239999999999995,21.2,50.28,18.0,50.0,13.320000000000002,50.480000000000004,11.04,50.760000000000005,11.0,50.72,44.4,51.4,40.8,51.64,36.120000000000005,48.88,23.32,49.559999999999995,14.399999999999999,50.92,14.6,49.96,50.28,50.760000000000005,50.44,50.6,50.8,50.519999999999996,48.96,50.760000000000005,48.76,50.68,47.88,48.16,42.96,47.64,38.84,47.44,37.4,46.160000000000004,38.56,45.879999999999995,39.04,47.12,39.160000000000004,46.08,45.76,46.96,46.92,45.839999999999996,44.64,47.199999999999996,41.839999999999996,46.6,39.32,47.64,35.44,46.28,46.08,45.879999999999995,45.28,46.32,45.76,46.64,44.879999999999995,46.88,43.919999999999995,46.52,44.72
Randomized Gaussian 0.2 sigma,33.08,27.439999999999998,49.95,-0.0010000000000000009,0.49876237623762376,0.2015,0.28703703703703703,54.55,0.09099999999999997,0.5388225255972696,0.6315,0.5814917127071824,53.1,0.061999999999999944,0.5263605442176871,0.619,0.5689338235294118,35.0,30.0,30.5,24.0,30.919999999999998,24.759999999999998,32.0,21.68,31.16,19.56,30.4,16.88,30.2,15.920000000000002,31.72,15.72,32.0,27.839999999999996,31.44,27.6,30.84,25.52,31.119999999999997,21.36,31.080000000000002,15.920000000000002,30.12,15.72,31.4,29.64,31.16,30.919999999999998,31.72,31.56,30.48,31.080000000000002,31.72,31.0,30.759999999999998,28.88,28.08,26.119999999999997,27.08,25.64,28.08,23.96,28.24,24.16,27.68,24.279999999999998,27.800000000000004,25.0,27.32,28.24,27.72,27.560000000000002,26.840000000000003,26.840000000000003,28.360000000000003,25.119999999999997,27.72,25.0,28.28,23.28,28.08,28.4,27.36,27.800000000000004,27.800000000000004,26.96,27.439999999999998,28.16,28.000000000000004,26.200000000000003,28.32,25.759999999999998
Randomized Laplace 0.2 sigma,21.7,20.080000000000002,50.5,0.010000000000000009,0.5110375275938189,0.2315,0.31865106675843086,52.925,0.05850000000000005,0.5280306660277911,0.551,0.5392708588206508,51.300000000000004,0.026000000000000023,0.5113935144609991,0.5835,0.5450723960765997,15.0,10.0,19.5,17.5,21.240000000000002,19.56,21.6,17.88,21.92,17.2,21.759999999999998,15.76,21.16,15.36,21.84,15.32,21.08,20.16,21.84,20.32,20.560000000000002,18.44,21.48,17.599999999999998,22.84,15.040000000000001,22.08,15.479999999999999,21.4,21.48,22.24,21.279999999999998,20.919999999999998,21.64,22.2,21.6,21.4,22.16,21.759999999999998,20.200000000000003,19.24,19.28,19.12,18.08,19.400000000000002,17.72,19.759999999999998,17.68,19.400000000000002,18.52,19.0,17.68,19.8,19.48,19.48,19.24,19.28,18.52,19.84,18.16,19.400000000000002,18.240000000000002,19.36,17.44,19.6,19.24,18.92,18.92,19.439999999999998,20.04,19.28,19.84,19.16,18.6,18.68,18.56
Label distortion 0.05 sigma,100.0,75.18,63.6,0.272,0.5787037037037037,1.0,0.7331378299120235,73.775,0.47550000000000003,0.6567754698318496,0.996,0.791575601033181,76.0,0.52,0.6904761904761905,0.9425,0.7970401691331924,95.0,0.0,96.0,0.0,83.56,19.24,83.56,13.600000000000001,83.56,12.36,83.56,4.8,83.56,2.7199999999999998,83.56,2.32,83.56,68.08,83.56,55.400000000000006,83.56,34.52,83.56,14.32,83.56,11.0,83.56,11.0,83.56,83.6,83.56,83.36,83.56,83.6,83.56,83.32000000000001,83.56,83.08,83.56,82.56,78.08,73.08,78.08,68.2,78.08,68.04,78.08,67.60000000000001,78.08,69.08,78.08,68.84,78.08,76.75999999999999,78.08,76.32,78.08,73.76,78.08,69.76,78.08,67.92,78.08,60.8,78.08,77.88000000000001,78.08,77.72,78.08,77.48,78.08,77.12,78.08,76.08,78.08,75.88000000000001
Label distortion 0.1 sigma,100.0,75.18,61.150000000000006,0.22299999999999998,0.5627462014631401,1.0,0.7202016564638098,73.775,0.47550000000000003,0.6567754698318496,0.996,0.791575601033181,76.0,0.52,0.6904761904761905,0.9425,0.7970401691331924,95.0,0.0,96.0,0.0,83.56,19.24,83.56,13.600000000000001,83.56,12.36,83.56,4.8,83.56,2.7199999999999998,83.56,2.32,83.56,68.08,83.56,55.400000000000006,83.56,34.52,83.56,14.32,83.56,11.0,83.56,11.0,83.56,83.6,83.56,83.36,83.56,83.6,83.56,83.32000000000001,83.56,83.08,83.56,82.56,78.08,73.08,78.08,68.2,78.08,68.04,78.08,67.60000000000001,78.08,69.08,78.08,68.84,78.08,76.75999999999999,78.08,76.32,78.08,73.76,78.08,69.76,78.08,67.92,78.08,60.8,78.08,77.88000000000001,78.08,77.72,78.08,77.48,78.08,77.12,78.08,76.08,78.08,75.88000000000001
Label distortion 0.2 sigma,100.0,75.18,58.85,0.17700000000000005,0.5485463521667581,1.0,0.7084661707403471,73.775,0.47550000000000003,0.6567754698318496,0.996,0.791575601033181,76.0,0.52,0.6904761904761905,0.9425,0.7970401691331924,95.0,0.0,96.0,0.0,83.56,19.24,83.56,13.600000000000001,83.56,12.36,83.56,4.8,83.56,2.7199999999999998,83.56,2.32,83.56,68.08,83.56,55.400000000000006,83.56,34.52,83.56,14.32,83.56,11.0,83.56,11.0,83.56,83.6,83.56,83.36,83.56,83.6,83.56,83.32000000000001,83.56,83.08,83.56,82.56,78.08,73.08,78.08,68.2,78.08,68.04,78.08,67.60000000000001,78.08,69.08,78.08,68.84,78.08,76.75999999999999,78.08,76.32,78.08,73.76,78.08,69.76,78.08,67.92,78.08,60.8,78.08,77.88000000000001,78.08,77.72,78.08,77.48,78.08,77.12,78.08,76.08,78.08,75.88000000000001
Salt and Pepper Noise 0.01,99.32,72.2,67.825,0.35650000000000004,0.67622343054869,0.684,0.680089485458613,64.775,0.2955,0.5879202618268372,0.988,0.7371759000186532,67.80000000000001,0.356,0.6118090452261307,0.974,0.7515432098765432,95.0,10.0,97.5,48.5,81.16,25.2,81.24,17.48,81.28,15.52,81.72,6.84,80.72,3.52,81.52000000000001,2.96,80.80000000000001,68.52000000000001,81.36,57.56,80.88,39.32,81.28,15.76,81.76,11.16,81.8,11.08,81.04,81.12,81.32000000000001,80.47999999999999,81.36,81.08,80.96,80.0,81.67999999999999,78.44,81.28,78.64,74.72,69.76,73.96000000000001,64.92,73.92,64.28,74.08,63.12,73.04,64.12,74.48,63.92,74.03999999999999,72.48,74.68,72.24000000000001,73.92,69.6,73.88,65.72,75.12,62.88,74.68,55.36,74.32,73.72,74.28,73.4,74.52,73.64,74.24,72.24000000000001,74.24,72.52,74.76,71.67999999999999
Salt and Pepper Noise 0.02,94.64,67.46,61.375,0.22749999999999992,0.6444444444444445,0.5075,0.5678321678321678,62.45,0.249,0.5742397137745975,0.963,0.7194620844228614,65.425,0.3085,0.5988465235501442,0.9345,0.7299355594610427,95.0,15.0,92.5,44.0,76.55999999999999,28.720000000000002,76.36,18.56,76.16000000000001,16.64,76.55999999999999,8.16,77.32,4.32,76.64,3.36,76.68,64.24,77.28,54.76,77.03999999999999,40.44,76.92,17.88,76.2,11.48,76.4,11.959999999999999,76.08,76.03999999999999,76.8,76.16000000000001,77.0,76.16000000000001,76.44,74.96000000000001,75.88000000000001,73.88,76.96,72.76,69.8,64.72,68.56,59.84,69.19999999999999,58.199999999999996,68.92,57.120000000000005,69.76,59.48,69.88,58.8,69.04,68.12,69.48,67.52,69.44,64.72,69.12,61.63999999999999,69.6,58.32000000000001,69.48,51.6,68.92,69.28,68.8,68.8,68.44,69.19999999999999,69.24,67.4,70.08,67.12,70.44,66.2
Salt and Pepper Noise 0.05,67.88,49.14,53.325,0.0665,0.5720476706392199,0.264,0.36127266507013345,58.525000000000006,0.17049999999999998,0.5557007513884351,0.8505,0.6721991701244814,59.12500000000001,0.1825,0.567318332718554,0.769,0.6529399278284865,65.0,15.0,67.0,38.0,55.44,32.72,56.24,20.200000000000003,56.599999999999994,17.32,56.08,10.440000000000001,56.36,8.559999999999999,57.48,7.32,57.879999999999995,48.84,56.64,43.44,56.44,36.120000000000005,57.16,20.8,56.92,13.56,57.76,13.76,57.96,56.76,56.64,57.28,56.48,56.24,56.56,55.60000000000001,57.56,54.279999999999994,57.08,53.239999999999995,51.559999999999995,48.6,50.88,42.64,52.64,41.68,53.36,41.160000000000004,51.160000000000004,41.959999999999994,51.76,42.68,51.0,49.28,51.64,51.12,51.839999999999996,48.36,52.839999999999996,44.4,51.959999999999994,42.96,51.160000000000004,37.88,51.239999999999995,52.35999999999999,52.0,51.4,51.959999999999994,50.12,52.52,50.160000000000004,51.76,48.68,52.16,48.52
Salt and Pepper Noise 0.07,51.459999999999994,40.2,51.5,0.03,0.5407608695652174,0.199,0.2909356725146199,57.65,0.15300000000000002,0.5542168674698795,0.782,0.6486934881791787,57.425000000000004,0.14849999999999997,0.5591397849462365,0.702,0.622478386167147,45.0,15.0,44.5,31.0,44.440000000000005,30.8,45.92,20.200000000000003,45.64,17.8,46.72,13.120000000000001,46.08,11.600000000000001,46.04,11.28,45.96,39.04,44.68,36.08,44.48,31.840000000000003,46.12,21.48,45.6,14.52,45.08,14.879999999999999,46.2,46.160000000000004,44.800000000000004,45.4,44.440000000000005,44.96,45.96,44.4,45.2,43.2,45.2,42.96,41.8,38.24,41.32,36.16,42.04,33.879999999999995,41.56,34.760000000000005,41.0,34.36,41.68,34.239999999999995,41.68,40.52,41.92,40.08,42.04,39.2,42.52,35.480000000000004,42.120000000000005,34.56,42.4,32.440000000000005,42.68,41.32,40.92,41.08,40.32,41.36,41.839999999999996,40.839999999999996,42.24,40.28,41.44,39.64
